id,car_make,car_model,year,first_owner,vinnumber
910,Chrysler,Town & Country,1995,false,2T1BURHE4FC361022
911,Dodge,Ram Wagon B350,1994,true,WBAEK73484B302067
912,Mercedes-Benz,W201,1990,false,WBAYG6C57FD212269
913,Kia,Rio,2013,false,WAUXF98K09A202364
914,Buick,Skyhawk,1987,false,SCBDP3ZA6BC606370
915,Pontiac,Firebird,1987,true,1G4GA5GRXFF778160
916,Chevrolet,Impala,2006,true,1FTWW3DY3AE644510
917,BMW,X6 M,2010,true,KMHGH4JH4EU818684
918,Buick,Lucerne,2006,true,2C4RVAAG4CR324248
919,Lincoln,Navigator,1998,false,1FTEW1C88AK972413
920,Ford,Expedition EL,2010,false,5XYKT3A15CG074716
921,Dodge,Durango,1998,true,5N1AN0NW2DN311033
922,Acura,Integra,2001,false,WAUWKAFR8AA857711
923,Mercedes-Benz,CL-Class,2002,true,WDDEJ7KB4BA394518
924,Maybach,62,2004,true,1G4HP52K054576757
925,Oldsmobile,Alero,2000,false,3C4PDCDG8DT508429
926,Chevrolet,Malibu,2012,false,1G6AB5RX4F0961479
927,Volvo,V70,2004,true,3C63D3HL3CG008005
928,Toyota,Tacoma,2003,true,1GKS1GEJ9CR230608
929,Toyota,Celica,1997,true,WAUML54B03N646905
930,Nissan,Murano,2003,true,YV126MEC3F1070686
931,Mitsubishi,Galant,2000,false,3N1BC1APXBL685652
932,Ford,Expedition,2002,false,1FTKR1AD9BP440375
933,Toyota,Land Cruiser,2007,false,1G6DS8EV1A0692224
934,Cadillac,Escalade ESV,2012,true,5UXZW0C52CL242531
935,Mercury,Grand Marquis,2000,true,WAUAFAFLXCA365503
936,Ford,LTD,1985,false,1D7RV1GP4BS874740
937,Chevrolet,Silverado 2500,2002,false,1G6DJ8E33D0536160
938,Maserati,GranTurismo,2012,false,WA1VYAFE5AD783456
939,Nissan,300ZX,1996,true,WBANV93518C586623
940,Mitsubishi,Endeavor,2005,false,WBAEV334X5K522487
941,Jeep,Grand Cherokee,1997,false,WAUFEAFM3CA921913
942,Ford,Aspire,1996,true,1FTEW1CM2EF968904
943,BMW,5 Series,1999,true,WA1AV94L29D699582
944,Volkswagen,Jetta,1984,false,4A31K2DF0BE303386
945,Hummer,H2 SUT,2006,false,5UXZW0C50D0734459
946,Mazda,Miata MX-5,2006,false,1G4GF5E31DF293760
947,Saturn,S-Series,1993,false,WA1LMBFE4AD882889
948,GMC,Sonoma Club Coupe,1997,true,WVGAV7AX6FW219864
949,Mazda,Mazda6,2012,false,JTHFE2C21A2141071
950,Mitsubishi,Montero,2005,false,WBA3B5G58DN453312
951,Chevrolet,Silverado 3500,2003,true,JA4AS2AW6AZ158508
952,Chevrolet,Suburban 2500,2008,false,1G6AC5SX7F0323363
953,Porsche,924,1988,false,1C3CCBBB7EN503957
954,Pontiac,Grand Prix,2005,true,5UMCN93462L689637
955,Chevrolet,G-Series G10,1994,false,JN1AZ4EH9CM044367
956,Mercedes-Benz,300CE,1993,false,WBAKF3C50CJ632928
957,Nissan,Murano,2011,false,1N6AD0CU5AC089195
958,Suzuki,Forenza,2006,false,1D7RB1CP0AS008871
959,Dodge,Ram 1500 Club,2001,true,WBSWL93599P991466
960,Hyundai,Accent,2013,true,SCBFH7ZAXFC163224
961,Pontiac,Aztek,2005,false,JN8CS1MUXDM188684
962,GMC,Rally Wagon 1500,1992,false,3FAHP0DC6BR141733
963,Chevrolet,Impala,1996,true,WA1VGBFP5EA497950
964,Ford,F350,1995,false,5J8TB3H32DL025933
965,Toyota,4Runner,1997,true,WBALL5C58CJ535453
966,Ferrari,458 Italia,2012,false,1C3CC5FB9AN079557
967,Ford,E-Series,2012,false,3G5DB03E84S082164
968,Dodge,Dakota,2003,false,1C4NJPBA9CD514315
969,Maserati,Biturbo,1985,true,5FNRL5H2XCB584303
970,Dodge,Colt,1989,false,1N6AD0CU1CN806330
971,Jaguar,S-Type,2004,true,1G6KD57Y12U582629
972,Chevrolet,Corvette,1968,true,5GAKRBED0CJ127403
973,Chevrolet,Lumina,2000,false,SCBLC37F15C524735
974,Mercedes-Benz,SL-Class,1988,false,KNAFU6A2XB5112437
975,Hyundai,Sonata,1999,true,KMHTC6AD6FU948764
976,Hummer,H3,2010,true,KNDMG4C32A6748693
977,Cadillac,Escalade,2010,true,SCFEDCAD4CG467030
978,Cadillac,Escalade ESV,2012,true,WBAVM1C54EV865701
979,BMW,Z4,2008,false,1C3CDZBG2EN129016
980,BMW,Z4,2011,false,2HNYD28698H823829
981,Toyota,FJ Cruiser,2007,false,WAUEG74F06N550896
982,Mazda,626,1992,false,JHMZF1D47ES037954
983,Maserati,Biturbo,1985,true,1GYEK63N85R270231
984,Lamborghini,Diablo,1991,true,1FTEW1C86AK853713
985,Daewoo,Lanos,2001,false,3C3CFFDR5FT334936
986,Mercedes-Benz,CLK-Class,2000,true,WAUAT48H53K045826
987,Volkswagen,New Beetle,1999,false,1D4PT7GX4AW400632
988,Cadillac,STS,2005,true,WAUEH78E08A798543
989,Mitsubishi,Endeavor,2004,true,5XYKT3A19BG682835
990,Ford,E250,2007,true,1FTNS2EW1AD445816
991,Chevrolet,Silverado 3500,2002,false,3GYFNEE3XCS193471
992,BMW,600,1959,true,WBAWV13549P824173
993,Acura,Integra,2001,false,SCFEDCAD5BG207587
994,Volkswagen,Fox,1990,false,3VW8S7AT3FM806772
995,Chevrolet,Astro,1997,false,WAUDF98EX8A007366
996,Nissan,Frontier,2011,false,1G6AM1R38F0101066
997,Mitsubishi,Lancer,2012,false,2G4WS55J251017361
998,Jeep,Wrangler,1994,true,WBAEV53413K707679
999,Toyota,Sienna,2010,false,5UXFG2C51DL092246
1000,Volkswagen,GTI,1990,false,WAUXL68E05A311547
